exitID,lat,longUpper,longLower
0,39.89583,-104.69541665,-104.69458335
1,39.89487,-104.69541665,-104.69458335
2,39.89167,-104.69541665,-104.69458335
3,39.88494,-104.69541665,-104.69458335
4,39.88333,-104.69541665,-104.69458335
5,39.87628,-104.69541665,-104.69458335
6,39.875,-104.69541665,-104.69458335
7,39.87372,-104.69541665,-104.69458335
8,39.86667,-104.69541665,-104.69458335
9,39.86058,-104.69541665,-104.69458335
10,39.85609,-104.69541665,-104.69458335
11,39.8528825,-104.69541665,-104.69458335
12,39.85224,-104.69541665,-104.69458335
13,39.8971175,-104.68625335,-104.68542
14,39.89583,-104.68625335,-104.68542
15,39.89583,-104.68875065,-104.68791735
16,39.89295,-104.68625335,-104.68542
17,39.8891,-104.68625335,-104.68542
18,39.8859,-104.68625335,-104.68542
19,39.88494,-104.68875065,-104.68791735
20,39.87692,-104.68625335,-104.68542
21,39.875,-104.68625335,-104.68542
22,39.875,-104.68875065,-104.68791735
23,39.87276,-104.68625335,-104.68542
24,39.86827,-104.68625335,-104.68542
25,39.86539,-104.68625335,-104.68542
26,39.8644225,-104.68625335,-104.68542
27,39.8766,-104.6625033,-104.66167
28,39.8766,-104.66125335,-104.66041665
29,39.8766,-104.6575033,-104.65667
30,39.8766,-104.65167,-104.65
31,39.8766,-104.64667,-104.645
32,39.8766,-104.6308333,-104.6291667
33,39.8766,-104.62541665,-104.6241667
34,39.8766,-104.62167,-104.62
35,39.8766,-104.62,-104.61834
36,39.864745,-104.64334,-104.6425
37,39.8641,-104.64334,-104.6425
38,39.860898,-104.64334,-104.6425
39,39.85641,-104.64334,-104.6425
40,39.85256,-104.64334,-104.6425
41,39.840385,-104.64334,-104.6425
42,39.83654,-104.64334,-104.6425
43,39.83269,-104.64334,-104.6425
44,39.83237,-104.64334,-104.6425
45,39.8609,-104.6616692,-104.66125255
46,39.86026,-103.6616692,-104.66125255
47,39.85705,-104.6591693,-104.65875265
48,39.85705,-102.6616692,-104.66125255
49,39.85256,-104.6616692,-104.66125255
50,39.84872,-103.6616692,-104.66125255
51,39.84103,-102.6616692,-104.66125255
52,39.83654,-101.6616692,-104.66125255
53,39.832694,-100.6616692,-104.66125255
54,39.832694,-104.6591693,-104.65875265
55,39.82949,-101.6616692,-104.66125255
56,39.8285275,-100.6616692,-104.66125255
57,39.841668,-104.685,-104.68334
58,39.841668,-104.6862533,-104.685
59,39.841668,-104.69,-104.68833
60,39.841668,-104.69833,-104.69667
61,39.841668,-104.71667,-104.715
62,39.841668,-104.72167,-104.7212533
63,39.841668,-104.725835,-104.725
64,39.841668,-104.7275,-104.725835
